rooms,square_m,floor,serie,price,link,region,street,building_total_floors,price_per_square_m,time
2.0,40,1.0,P. kara,130.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/clldn.html,Pļavnieki,Lubānas 41,2,3.25,2023-01-23
2.0,50,2.0,Jaun.,420.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/aimek.html,Pļavnieki,Jasmuižas 24,3,8.4,2023-01-23
1.0,27,5.0,P. kara,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bxxll.html,centrs,Valdemāra 113,5,14.814814814814815,2023-01-23
1.0,12,4.0,M. ģim.,230.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/gmpef.html,Āgenskalns,Kristapa 10,4,19.166666666666668,2023-01-23
1.0,11,8.0,602.,180.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/hxghl.html,Imanta,Kurzemes pr. 100,9,16.363636363636363,2023-01-23
1.0,24,2.0,P. kara,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adgcb.html,centrs,Čaka 136a,2,9.166666666666666,2023-01-23
1.0,41,2.0,Jaun.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/zolitude/ggkcf.html,Zolitūde,Irlavas 34,3,7.317073170731707,2023-01-23
2.0,51,1.0,P. kara,600.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cibld.html,centrs,Valdemāra 77,5,11.764705882352944,2023-01-23
1.0,35,1.0,Renov.,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fglhi.html,centrs,Valmieras 34,2,8.285714285714286,2023-01-23
1.0,16,1.0,P. kara,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/vecriga/exhpx.html,Vecrīga,Jēkaba 26/28,5,20.0,2023-01-23
2.0,42,1.0,Hrušč.,260.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/hceih.html,Purvciems,Raunas 39 k-2,5,6.190476190476191,2023-01-23
1.0,35,3.0,P. kara,330.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bpnlm.html,centrs,Cēsu 43,6,9.428571428571429,2023-01-23
2.0,63,1.0,Jaun.,480.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/cbgoo.html,Purvciems,Astras 8,24,7.6190476190476195,2023-01-23
3.0,70,3.0,P. kara,420.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/adfii.html,Torņakalns,Bauskas 8,3,6.0,2023-01-23
1.0,23,3.0,Renov.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/tornjakalns/ggdox.html,Torņakalns,Mūkusalas 56,3,13.043478260869565,2023-01-23
3.0,87,2.0,P. kara,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxmnc.html,centrs,Ģertrūdes 46,5,5.172413793103448,2023-01-23
2.0,56,3.0,Renov.,520.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/dbhgm.html,Āgenskalns,Mārupes 6,4,9.285714285714286,2023-01-23
1.0,21,1.0,P. kara,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/epkcc.html,Āgenskalns,Smiļģa 5a,2,9.523809523809524,2023-01-23
2.0,41,3.0,Jaun.,500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/apckk.html,Mežciems,Hipokrāta 22,5,12.19512195121951,2023-01-23
1.0,28,1.0,P. kara,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/krasta-st-area/dxilc.html,Krasta r-ns,Salacas 1,4,7.857142857142858,2023-01-23
2.0,50,3.0,Renov.,390.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bkbhgh.html,Maskavas priekšpilsēta,Kalupes 15,4,7.8,2023-01-23
1.0,20,3.0,P. kara,195.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/difmc.html,centrs,Ģertrūdes 64,5,9.75,2023-01-23
2.0,66,1.0,Jaun.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/diimm.html,Jugla,M. Juglas 2a,3,6.8181818181818175,2023-01-23
2.0,67,13.0,Jaun.,700.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/fpjek.html,centrs,Skanstes 29,23,10.447761194029852,2023-01-23
3.0,50,1.0,Renov.,580.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ajegm.html,centrs,Bruņinieku 121B,5,11.6,2023-01-23
2.0,50,2.0,LT proj.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bnooh.html,Ķengarags,Bultu 4,5,7.0,2023-01-23
1.0,19,4.0,Renov.,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/aeflh.html,Ķengarags,Maskavas 261,5,12.63157894736842,2023-01-23
2.0,86,1.0,Jaun.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ahxhk.html,centrs,Čaka 92,5,5.232558139534883,2023-01-23
2.0,47,5.0,P. kara,270.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/ebkgg.html,centrs,Brīvības 121,5,5.74468085106383,2023-01-23
1.0,27,5.0,LT proj.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/bxbkj.html,Ķengarags,Aviācijas 11,4,9.25925925925926,2023-01-23
1.0,8,1.0,P. kara,85.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/hpbfx.html,Āgenskalns,Smiļģa 5a,2,10.625,2023-01-23
2.0,62,5.0,P. kara,550.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/binmc.html,centrs,Elizabetes 2,5,8.870967741935484,2023-01-23
2.0,54,6.0,P. kara,290.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/clihj.html,centrs,Brīvības 121,6,5.37037037037037,2023-01-23
2.0,47,5.0,467.,330.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/fhgni.html,Āgenskalns,Vīlipa 6,9,7.0212765957446805,2023-01-23
2.0,48,3.0,Hrušč.,580.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dpolm.html,centrs,Barona 96,5,12.083333333333336,2023-01-23
2.0,42,1.0,Hrušč.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/adfmx.html,Jugla,Juglas 5/1,5,5.9523809523809526,2023-01-23
4.0,260,1.0,Jaun.,1000.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cllmi.html,centrs,Tomsona 39,10,3.8461538461538463,2023-01-23
1.0,28,1.0,P. kara,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/flngf.html,Maskavas priekšpilsēta,Daugavpils 52,5,7.142857142857142,2023-01-23
2.0,61,1.0,Jaun.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/hxbco.html,Jugla,Ciemupes 2,9,6.557377049180328,2023-01-23
3.0,87,3.0,Renov.,650.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dxjhj.html,centrs,Marijas 16,7,7.471264367816093,2023-01-23
1.0,27,4.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/colmc.html,Ķengarags,Prūšu 38,5,7.407407407407407,2023-01-23
3.0,61,1.0,Hrušč.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/dhegn.html,Ķengarags,Maskavas 256,5,4.918032786885246,2023-01-23
1.0,28,2.0,Jaun.,170.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/elxmk.html,Pļavnieki,Rencēnu 40,5,6.071428571428571,2023-01-23
2.0,50,4.0,602.,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/gbejj.html,Imanta,Jūrmalas g. 93/2,9,2.0,2023-01-23
4.0,119,3.0,Jaun.,1000.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/bpfbi.html,centrs,Republikas laukums 3,6,8.403361344537815,2023-01-23
3.0,60,5.0,P. kara,370.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afdfm.html,centrs,Matīsa 43,5,6.166666666666668,2023-01-23
2.0,42,3.0,Hrušč.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/agjkn.html,Ķengarags,Lokomotīves 22,5,4.761904761904762,2023-01-23
1.0,32,8.0,Čehu pr.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ehepe.html,Ķengarags,Ikšķiles 5,12,6.25,2023-01-23
2.0,61,3.0,Jaun.,400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/alcdx.html,Mežciems,Vecā Biķernieku 21,4,6.557377049180328,2023-01-23
3.0,53,1.0,Specpr.,430.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agnem.html,centrs,Valdemāra 52/54,5,8.113207547169809,2023-01-23
1.0,46,8.0,119.,210.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/afdox.html,Purvciems,Madonas 27,9,4.565217391304348,2023-01-23
2.0,45,3.0,Staļina,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/aiell.html,Ķengarags,Prūšu 19,4,6.666666666666668,2023-01-23
1.0,31,4.0,Specpr.,280.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/gibde.html,Āgenskalns,Melnsila 18,5,9.03225806451613,2023-01-23
2.0,55,5.0,Specpr.,255.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/darzciems/hxbcm.html,Dārzciems,Preiļu 2,7,4.636363636363637,2023-01-23
2.0,55,5.0,Jaun.,500.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/doxmo.html,Ķengarags,Ķengaraga 10,5,9.090909090909092,2023-01-23
1.0,28,5.0,LT proj.,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ilguciems/cbiki.html,Iļģuciems,Reņģes 2a,5,7.857142857142858,2023-01-23
1.0,43,2.0,Specpr.,270.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/mezhciems/cgpim.html,Mežciems,Biķernieku 121,2,6.27906976744186,2023-01-23
2.0,37,5.0,LT proj.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/afieb.html,Imanta,Kurzemes pr. 74,5,5.405405405405406,2023-01-23
2.0,36,3.0,Jaun.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/expdd.html,Ķengarags,Ķengaraga 10,5,12.5,2023-01-23
3.0,54,4.0,Specpr.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agino.html,centrs,Sadovņikova 21,6,8.333333333333334,2023-01-23
1.0,37,3.0,602.,170.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/bencf.html,Imanta,Kurzemes pr. 122,9,4.594594594594595,2023-01-23
1.0,30,1.0,Renov.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/epohg.html,centrs,Klijānu 2A,9,8.333333333333334,2023-01-23
1.0,44,7.0,119.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/hblig.html,Ziepniekkalns,Ozolciema 16/7,7,5.6818181818181825,2023-01-23
2.0,50,3.0,P. kara,390.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bjepkl.html,Maskavas priekšpilsēta,Kalupes 15,5,7.8,2023-01-23
1.0,22,2.0,P. kara,130.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dojbm.html,centrs,Lienes 15,5,5.909090909090909,2023-01-23
1.0,31,5.0,P. kara,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gxilj.html,centrs,Lienes 15,5,3.2258064516129035,2023-01-23
1.0,21,5.0,P. kara,100.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/djxof.html,Maskavas priekšpilsēta,Daugavpils 53,5,4.761904761904762,2023-01-23
2.0,74,8.0,Jaun.,460.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/aibel.html,Purvciems,Braslas 27,6,6.216216216216216,2023-01-23
2.0,83,3.0,Renov.,1400.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/agofl.html,centrs,Blaumaņa 9,6,16.867469879518072,2023-01-23
2.0,72,2.0,Jaun.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/fdhic.html,Imanta,Anniņmuižas 38,16,6.25,2023-01-23
1.0,38,1.0,P. kara,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/hfpkj.html,centrs,Tallinas 33,5,7.894736842105262,2023-01-23
1.0,29,4.0,LT proj.,210.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/cbdkb.html,Imanta,M. Krūmu 6,5,7.241379310344827,2023-01-23
2.0,55,5.0,103.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/bhloe.html,Sarkandaugava,Sarkandaugavas 31,6,5.8181818181818175,2023-01-23
2.0,48,5.0,LT proj.,275.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/gjfnd.html,Jugla,Malienas 66,5,5.729166666666668,2023-01-23
1.0,30,5.0,P. kara,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dcfii.html,centrs,Maskavas 81A,5,10.666666666666666,2023-01-23
4.0,90,3.0,P. kara,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/dflof.html,centrs,Stabu 59,5,5.0,2023-01-23
1.0,24,1.0,Staļina,255.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/dmiem.html,Āgenskalns,Mārupes 19,2,10.625,2023-01-23
2.0,54,5.0,P. kara,380.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/gdngx.html,centrs,Tallinas 33,5,7.037037037037037,2023-01-23
2.0,44,1.0,Jaun.,420.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/gpgpx.html,Pļavnieki,Salnas 21,9,9.545454545454543,2023-01-23
1.0,15,4.0,P. kara,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/cbngf.html,centrs,Kalniņa 1,5,23.33333333333333,2023-01-23
3.0,80,1.0,Jaun.,620.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/ejjel.html,Šampēteris-Pleskodāle,Irlavas 4,4,7.75,2023-01-23
2.0,51,6.0,602.,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/ziepniekkalns/dojni.html,Ziepniekkalns,Ozolciema 32,10,4.313725490196078,2023-01-23
2.0,55,4.0,Specpr.,320.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/maskavas-priekshpilseta/bkbcmf.html,Maskavas priekšpilsēta,Lāčplēša 120,5,5.8181818181818175,2023-01-23
2.0,48,3.0,Specpr.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/purvciems/accpg.html,Purvciems,Vaidavas 2,5,6.25,2023-01-23
2.0,45,4.0,LT proj.,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/idkch.html,Ķengarags,Aviācijas 25,5,5.333333333333333,2023-01-23
1.0,44,4.0,Jaun.,490.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/grizinkalns/bpnpcc.html,Grīziņkalns,Alauksta 9,6,11.136363636363637,2023-01-23
2.0,39,4.0,Hrušč.,220.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/acgih.html,Šampēteris-Pleskodāle,Stendes 1,4,5.641025641025642,2023-01-23
2.0,66,1.0,Jaun.,450.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/yugla/dhxbh.html,Jugla,M. Juglas 2a,3,6.8181818181818175,2023-01-23
2.0,47,5.0,Specpr.,330.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/dzeguzhkalns/afedh.html,Dzegužkalns,Daugavgrīvas 60,7,7.0212765957446805,2023-01-23
1.0,30,2.0,M. ģim.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/grizinkalns/bpmxpi.html,Grīziņkalns,Pērnavas 54,2,8.333333333333334,2023-01-23
1.0,40,6.0,M. ģim.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/ajnlp.html,Pļavnieki,Pļavnieku 12,9,5.0,2023-01-23
1.0,13,4.0,Renov.,240.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/adhcg.html,centrs,Čaka 87,4,18.46153846153846,2023-01-23
1.0,33,1.0,602.,250.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/apfon.html,Pļavnieki,J. Vācieša 12,7,7.575757575757576,2023-01-23
1.0,33,4.0,103.,160.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/agenskalns/ekxce.html,Āgenskalns,Kandavas 8,5,4.848484848484849,2023-01-23
2.0,56,4.0,P. kara,380.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/centre/afcbc.html,centrs,Nītaures 2,5,6.7857142857142865,2023-01-23
1.0,37,9.0,602.,265.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/imanta/affix.html,Imanta,Kurzemes pr. 84,9,7.162162162162162,2023-01-23
1.0,40,3.0,M. ģim.,200.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/hnhxj.html,Pļavnieki,Tīnūžu 7,9,5.0,2023-01-23
1.0,32,6.0,602.,270.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/plyavnieki/akblh.html,Pļavnieki,Pavasara g. 4,9,8.4375,2023-01-23
2.0,46,5.0,LT proj.,350.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/kengarags/ekxxc.html,Ķengarags,Višķu 9,5,7.608695652173912,2023-01-23
4.0,73,4.0,Hrušč.,300.0,https://www.ss.lv/msg/lv/real-estate/flats/riga/sarkandaugava/ggpdl.html,Sarkandaugava,Limbažu 2,5,4.109589041095891,2023-01-23
